SKU,INVENTARIO
55-9873-Z5-CL,284
55-9880-Z5-M1,0
55-9890-Z5-CM,30
55-9907-CA-CM,100
55-9910-CA-CL,2
55-9938-Z5-CL,0
55-9939-Z5-CL,1
55-9944-Z5-CL,4
55-9945-34-CM,0
55-9945-E3-CM,0
55-9945-Z5-CM,0
55-9946-34-CM,0
55-9947-34-CM,0
55-9947-Z5-CM,0
55-9970-CA-CM,16
55-9973-CA-CM,1
55-9974-CA-CL,12
55-9975-CA-CL,0
55-9975-CA-CM,1
55-9976-CA-CL,0
55-9977-CA-CM,2
55-E003-CA-CM,0
55-E004-M3-CL,0
55-E005-M3-00,12
55-E006-CA-CK,0
55-E018-05-CL,0
55-E021-05-CL,0
55-E028-34-CM,2
55-E028-60-CM,10
55-E028-Z5-CM,27
55-E032-DL-CL,3
55-E033-Z5-CM,4
55-E034-14-CM,1
55-E034-54-CL,178
55-E034-54-CM,114
55-E034-60-CL,11
55-E034-J6-CM,1
55-E039-M3-CL,1
55-E045-CA-CL,0
55-E047-CA-CL,0
55-E051-37-CL,5
55-E053-DC-CL,0
55-E054-Z5-CL,0
55-E056-DC-CL,0
55-E063-14-OU,0
55-E065-DL-OU,1
55-E071-54-00,139
55-E071-Z5-00,4
55-E074-34-CL,6
55-E074-34-CM,51
55-E076-M3-CM,112
55-E092-34-EH,45
55-E093-Z5-EH,1
55-E095-Z5-EH,1
55-E101-34-00,10
55-E102-Z5-CM,1
55-E114-Z5-EH,4
55-E115-Z5-EH,0
55-E136-Z5-CK,0
55-E136-Z5-CL,2
55-E137-Z5-CL,34
55-E138-CA-CL,3
55-E138-CA-CM,0
55-E149-CA-CL,0
55-E151-CA-11,29
55-E151-CA-CK,187
55-E163-37-CM,7
60-9809-34-CL,0
60-9809-34-CM,4
60-9809-Z5-CL,25
60-9842-34-CM,0
60-9913-Z5-CM,0
60-9996-Z5-CM,0
60-E000-Z5-CM,44
60-E058-Z5-00,119
60-E059-Z5-00,54
60-E102-Z5-CL,277
60-E102-Z5-CM,44
71-0580-54-M2,63
71-5158-14-37,30
71-7535-60-00,249
